key,en,zh,vi,fr
menu.YB,"Time Out","超时","Hết thời gian",
menu.YC,"Variable ERROR","变量错误","Lỗi biến số",
menu.YD,"NULL ERROR","空值错误","Lỗi NULL",
menu.YE,"Memory ERROR","内存错误","Lỗi bộ nhớ",
menu.YG,"No Operator","无运算符","Không có Toán tử",
menu.YH,"Not Defined","未定义","Không xác định",
menu.YZ,"Nesting ERROR","嵌套错误","Lỗi lồng hàm",
menu.Z0,"Setup Menu Manual","设置菜单说明","Mô tả Trình cài đặt",
menu.Z1,"Setup Sub Menu Manual","设置(二级)菜单说明","Mô tả Trình cài đặt (phụ)",
menu.GS,"Get Started Menu","开始菜单",,
